Date,Date,Open,High,Low,Close,Adj Close,Volume,weekly_bias,week_high_low_day
2009-09-21,2009-09-21,1059.25,1075.75,1036.25,1041.0,1041.0,9442947,-1.0,Wednesday
2009-09-28,2009-09-28,1042.25,1065.75,1012.0,1021.75,1021.75,11341070,-1.0,Tuesday
2009-10-05,2009-10-05,1021.75,1068.5,1019.5,1068.0,1068.0,8729961,1.0,Monday
2009-10-12,2009-10-12,1067.75,1095.5,1063.0,1082.0,1082.0,8404963,1.0,Tuesday
2009-10-19,2009-10-19,1080.25,1099.0,1070.25,1077.0,1077.0,10501718,-1.0,Tuesday
2009-10-26,2009-10-26,1076.5,1088.5,1029.5,1033.0,1033.0,13318084,-1.0,Monday
2009-11-02,2009-11-02,1031.25,1069.5,1026.0,1066.25,1066.25,11491355,1.0,Monday
2009-11-09,2009-11-09,1065.75,1103.25,1065.0,1091.5,1091.5,8943155,1.0,Monday
2009-11-16,2009-11-16,1092.0,1112.25,1083.5,1090.0,1090.0,8488057,-1.0,Monday
2009-11-23,2009-11-23,1089.75,1111.5,1067.0,1089.5,1089.5,5912474,-1.0,Monday
2009-11-30,2009-11-30,1091.5,1119.0,1084.5,1108.0,1108.0,10505249,1.0,Monday
2009-12-07,2009-12-07,1108.0,1110.75,1085.0,1108.0,1108.0,8190068,1.0,Wednesday
2009-12-14,2009-12-14,1107.5,1118.0,1095.75,1102.3800048828125,1102.3800048828125,3868174,-1.0,Monday
2009-12-21,2009-12-21,1098.75,1122.5,1096.5,1122.0,1122.0,3071447,1.0,Monday
2009-12-28,2009-12-28,1120.5,1128.5,1109.75,1110.75,1110.75,2289388,-1.0,Tuesday
2010-01-04,2010-01-04,1113.75,1141.75,1113.25,1141.5,1141.5,7024459,1.0,Monday
2010-01-11,2010-01-11,1141.75,1148.0,1127.5,1132.25,1132.25,9120478,-1.0,Monday
2010-01-18,2010-01-18,1131.75,1147.0,1086.25,1091.0,1091.0,11303104,-1.0,Tuesday
2010-01-25,2010-01-25,1094.0,1103.5,1066.5,1070.5,1070.5,13284325,-1.0,Thursday
2010-02-01,2010-02-01,1070.0,1101.5,1040.75,1059.75,1059.75,13170284,-1.0,Tuesday
2010-02-08,2010-02-08,1062.0,1079.75,1053.0,1079.0,1079.0,12291057,1.0,Monday
2010-02-15,2010-02-15,1077.5,1111.0,1073.5,1106.25,1106.25,7360879,1.0,Tuesday
2010-02-22,2010-02-22,1106.0,1112.75,1084.5,1103.5,1103.5,10066815,-1.0,Monday
2010-03-01,2010-03-01,1105.5,1138.75,1104.25,1136.5,1136.5,8061046,1.0,Monday
2010-03-08,2010-03-08,1136.25,1159.5,1131.5,1151.25,1151.25,7520610,1.0,Tuesday
2010-03-15,2010-03-15,1151.0,1170.0,1141.25,1172.949951171875,1172.949951171875,3949186,1.0,Monday
2010-03-22,2010-03-22,1150.75,1176.5,1146.75,1163.5,1163.5,10281472,1.0,Monday
2010-03-29,2010-03-29,1164.75,1178.75,1161.25,1173.699951171875,1173.699951171875,7260118,1.0,Wednesday
2010-04-05,2010-04-05,1178.75,1193.0,1171.0,1192.5,1192.5,7954215,1.0,Thursday
2010-04-12,2010-04-12,1194.75,1210.5,1182.75,1190.25,1190.25,9852746,-1.0,Thursday
2010-04-19,2010-04-19,1186.0,1213.75,1179.75,1212.25,1212.25,10708137,1.0,Monday
2010-04-26,2010-04-26,1211.25,1216.75,1176.75,1183.5,1183.5,12951049,-1.0,Monday
2010-05-03,2010-05-03,1184.5,1202.0,1056.0,1107.0,1107.0,19098053,-1.0,Monday
2010-05-10,2010-05-10,1125.25,1174.75,1121.5,1135.25,1135.25,13356859,1.0,Monday
